Query,Time,Value,Unit
"name=""joe biden"" AND channel=""CNN""",2011-04-24,18.012,seconds
"name=""joe biden"" AND channel=""CNN""",2011-04-25,6,seconds
"name=""joe biden"" AND channel=""CNN""",2011-04-26,36.009,seconds
"name=""joe biden"" AND channel=""CNN""",2011-04-27,27.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-04-30,15,seconds
"name=""joe biden"" AND channel=""CNN""",2011-05-01,12,seconds
"name=""joe biden"" AND channel=""CNN""",2011-05-03,21.015,seconds
"name=""joe biden"" AND channel=""CNN""",2011-05-04,103.643,seconds
"name=""joe biden"" AND channel=""CNN""",2011-05-05,6.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-05-06,1375.203,seconds
"name=""joe biden"" AND channel=""CNN""",2011-05-07,24.018,seconds
"name=""joe biden"" AND channel=""CNN""",2011-05-08,9.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-05-09,12.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-05-10,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-05-12,281.29499999999996,seconds
"name=""joe biden"" AND channel=""CNN""",2011-05-15,6,seconds
"name=""joe biden"" AND channel=""CNN""",2011-05-16,6.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-05-21,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-05-24,9,seconds
"name=""joe biden"" AND channel=""CNN""",2011-05-28,21.006,seconds
"name=""joe biden"" AND channel=""CNN""",2011-05-29,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-05-30,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-06-02,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-06-03,12.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-06-05,48.033,seconds
"name=""joe biden"" AND channel=""CNN""",2011-06-06,48.036,seconds
"name=""joe biden"" AND channel=""CNN""",2011-06-09,6,seconds
"name=""joe biden"" AND channel=""CNN""",2011-06-11,42.027,seconds
"name=""joe biden"" AND channel=""CNN""",2011-06-12,30.024,seconds
"name=""joe biden"" AND channel=""CNN""",2011-06-15,6.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-06-16,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-06-17,12,seconds
"name=""joe biden"" AND channel=""CNN""",2011-06-18,6,seconds
"name=""joe biden"" AND channel=""CNN""",2011-06-20,9.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-06-21,21.006,seconds
"name=""joe biden"" AND channel=""CNN""",2011-06-22,6,seconds
"name=""joe biden"" AND channel=""CNN""",2011-06-23,15.006,seconds
"name=""joe biden"" AND channel=""CNN""",2011-06-24,6.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-06-25,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-06-26,12.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-07-01,24.018,seconds
"name=""joe biden"" AND channel=""CNN""",2011-07-05,6.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-07-06,12.009,seconds
"name=""joe biden"" AND channel=""CNN""",2011-07-11,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-07-12,9.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-07-13,24.012,seconds
"name=""joe biden"" AND channel=""CNN""",2011-07-14,24.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-07-15,12.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-07-16,9,seconds
"name=""joe biden"" AND channel=""CNN""",2011-07-20,12.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-07-21,18.006,seconds
"name=""joe biden"" AND channel=""CNN""",2011-07-27,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-07-28,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-08-01,291.258,seconds
"name=""joe biden"" AND channel=""CNN""",2011-08-02,216.89000000000004,seconds
"name=""joe biden"" AND channel=""CNN""",2011-08-03,45.033,seconds
"name=""joe biden"" AND channel=""CNN""",2011-08-04,12.006,seconds
"name=""joe biden"" AND channel=""CNN""",2011-08-05,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-08-14,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-08-16,6,seconds
"name=""joe biden"" AND channel=""CNN""",2011-08-17,9.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-08-18,9.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-08-19,6,seconds
"name=""joe biden"" AND channel=""CNN""",2011-08-21,12,seconds
"name=""joe biden"" AND channel=""CNN""",2011-08-25,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-08-31,30.015,seconds
"name=""joe biden"" AND channel=""CNN""",2011-09-01,54.03,seconds
"name=""joe biden"" AND channel=""CNN""",2011-09-05,6,seconds
"name=""joe biden"" AND channel=""CNN""",2011-09-06,25.577,seconds
"name=""joe biden"" AND channel=""CNN""",2011-09-07,15.006,seconds
"name=""joe biden"" AND channel=""CNN""",2011-09-08,3478.286,seconds
"name=""joe biden"" AND channel=""CNN""",2011-09-09,2329.9610000000002,seconds
"name=""joe biden"" AND channel=""CNN""",2011-09-10,819.7349999999999,seconds
"name=""joe biden"" AND channel=""CNN""",2011-09-11,354.23699999999997,seconds
"name=""joe biden"" AND channel=""CNN""",2011-09-12,951.775,seconds
"name=""joe biden"" AND channel=""CNN""",2011-09-13,87.067,seconds
"name=""joe biden"" AND channel=""CNN""",2011-09-14,15.009,seconds
"name=""joe biden"" AND channel=""CNN""",2011-09-15,57.042,seconds
"name=""joe biden"" AND channel=""CNN""",2011-09-16,84.066,seconds
"name=""joe biden"" AND channel=""CNN""",2011-09-18,39.03,seconds
"name=""joe biden"" AND channel=""CNN""",2011-09-19,90.063,seconds
"name=""joe biden"" AND channel=""CNN""",2011-09-20,45.024,seconds
"name=""joe biden"" AND channel=""CNN""",2011-09-22,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-09-24,21.015,seconds
"name=""joe biden"" AND channel=""CNN""",2011-09-25,21.012,seconds
"name=""joe biden"" AND channel=""CNN""",2011-09-26,12.009,seconds
"name=""joe biden"" AND channel=""CNN""",2011-09-27,9.006,seconds
"name=""joe biden"" AND channel=""CNN""",2011-09-29,100.446,seconds
"name=""joe biden"" AND channel=""CNN""",2011-10-05,12.009,seconds
"name=""joe biden"" AND channel=""CNN""",2011-10-06,48.03,seconds
"name=""joe biden"" AND channel=""CNN""",2011-10-07,21.009,seconds
"name=""joe biden"" AND channel=""CNN""",2011-10-10,6,seconds
"name=""joe biden"" AND channel=""CNN""",2011-10-12,66.051,seconds
"name=""joe biden"" AND channel=""CNN""",2011-10-13,78.054,seconds
"name=""joe biden"" AND channel=""CNN""",2011-10-19,111.084,seconds
"name=""joe biden"" AND channel=""CNN""",2011-10-20,294.198,seconds
"name=""joe biden"" AND channel=""CNN""",2011-10-21,249.202,seconds
"name=""joe biden"" AND channel=""CNN""",2011-10-22,9.006,seconds
"name=""joe biden"" AND channel=""CNN""",2011-10-23,1294.684,seconds
"name=""joe biden"" AND channel=""CNN""",2011-10-24,121.248,seconds
"name=""joe biden"" AND channel=""CNN""",2011-10-25,18.006,seconds
"name=""joe biden"" AND channel=""CNN""",2011-10-26,126.087,seconds
"name=""joe biden"" AND channel=""CNN""",2011-10-27,24.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-10-28,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-11-02,27.024,seconds
"name=""joe biden"" AND channel=""CNN""",2011-11-05,33.027,seconds
"name=""joe biden"" AND channel=""CNN""",2011-11-06,12.006,seconds
"name=""joe biden"" AND channel=""CNN""",2011-11-07,9.006,seconds
"name=""joe biden"" AND channel=""CNN""",2011-11-11,15.003,seconds
"name=""joe biden"" AND channel=""CNN""",2011-11-12,21.009,seconds
"name=""joe biden"" AND channel=""CNN""",2011-11-13,21.009,seconds
"name=""joe biden"" AND channel=""CNN""",2011-11-16,18.009999999999998,seconds
"name=""joe biden"" AND channel=""CNN""",2011-11-21,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-11-25,9.003,seconds
